Nº sequencia ,Nombre en sanscrito,Nombre común
figura 1,Tadasana,Postura de equilibro
figura 2,Urdhva Hastasana,Postura de brazos elevados
figura 3,Uttanasana,Postura de estiramiento
figura 4,Ardha Uttanasana,Postura de media estiramiento
figura 5,Chaturanga Dandasana,Postura de cuadrúpedo
figura 6,Urdhva Mukha Svanasana,Postura de perro boca arriba
figura 7,Adho Mukha Svanasana,Postura de perro boca abajo
figura 8,Uttanasana,Postura de estiramiento
figura 9,Ardha Uttanasana,Postura de media estiramiento
figura 10,Urdhva Hastasana,Postura de brazos elevados
figura 11,Tadasana,Postura de equilibro